"RuleName","Strategy","Outcome","Recommendation"
"Essential8.E8-5.AzureAD.Admin.DedicatedAccounts","E8-5","Pass","Privileged accounts should be dedicated admin accounts, not regular user accounts"
"Essential8.E8-5.AzureAD.Admin.MFARequired","E8-5","Pass","All privileged accounts must have MFA enforced"
"Essential8.E8-7.AzureAD.MFA.AllUsersEnabled","E8-7","Pass","Multi-factor authentication should be enabled for all users"
"Essential8.E8-7.AzureAD.MFA.PrivilegedEnforced","E8-7","Pass","Privileged accounts must have MFA enforced, not just enabled"
"Essential8.E8-7.AzureAD.MFA.PhishingResistant","E8-7","Pass","Users should use phishing-resistant MFA methods (Authenticator app, FIDO2, Windows Hello)"
"Essential8.E8-7.AzureAD.EmergencyAccess","E8-7","Fail","Emergency access accounts should be properly configured and monitored"
"Essential8.E8-5.AzureAD.Admin.DedicatedAccounts","E8-5","Pass","Privileged accounts should be dedicated admin accounts, not regular user accounts"
"Essential8.E8-5.AzureAD.Admin.MFARequired","E8-5","Pass","All privileged accounts must have MFA enforced"
"Essential8.E8-7.AzureAD.MFA.AllUsersEnabled","E8-7","Pass","Multi-factor authentication should be enabled for all users"
"Essential8.E8-7.AzureAD.MFA.PrivilegedEnforced","E8-7","Pass","Privileged accounts must have MFA enforced, not just enabled"
"Essential8.E8-7.AzureAD.MFA.PhishingResistant","E8-7","Pass","Users should use phishing-resistant MFA methods (Authenticator app, FIDO2, Windows Hello)"
"Essential8.E8-7.AzureAD.EmergencyAccess","E8-7","Fail","Emergency access accounts should be properly configured and monitored"
"Essential8.E8-5.AzureAD.Admin.GlobalAdminCount","E8-5","Pass","Limit Global Administrator role assignments to 2-5 accounts maximum"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
"Essential8.E8-1.AzureAD.ServicePrincipals.Credentials","E8-1","Fail","Service principals should use certificate-based authentication where possible"
